Nr;Gewicht;LÃ¤nge;Durchmesser;Volumen
1;11;3,15;2,6;5,3235
2;8;3,26;2,2;3,9446
3;13;3,68;2,4;5,2992
4;11;3,28;2,61;5,585922
5;7;2,66;2,3;3,51785
6;8;3,08;2,33;4,180253
7;7;2,67;2,38;3,780987
8;7;2,38;2,54;3,838702
9;9;3,13;2,35;4,32135625
10;11;3,09;2,51;4,86682725
11;7;2,72;2,25;3,4425
12;5;2,41;2;2,41
13;8;3,09;2,38;4,375749
14;8;2,85;2,38;4,035885
15;7;2,74;2,16;3,195936
16;8;2,93;2,23;3,64264925
17;9;2,91;2,41;4,22539275
18;10;3,14;2,36;4,372136
19;8;2,93;2,26;3,741317
20;8;2,75;2,32;3,7004
21;10;3,39;2,4;4,8816
22;10;3,13;2,42;4,582633
23;4;2,29;1,93;2,13250525
24;7;2,58;2,17;3,0372405
25;6;2,63;2,11;2,92725575
26;11;3,33;2,47;5,07899925
27;9;3,11;2,52;4,937436
28;9;3,12;2,46;4,720248
29;5;2,86;2,26;3,651934
30;6;2,6;2,23;3,232385
31;7;2,95;2,35;4,07284375
32;8;3;2,39;4,284075
33;7;2,5;2,35;3,4515625
34;9;3,18;2,24;3,988992
35;6;2,48;2,1;2,7342
36;9;3,06;2,34;4,188834
37;8;2,98;2,24;3,738112
38;11;3,2;2,47;4,88072
39;10;2,91;2,47;4,43840475
40;8;3,1;2,33;4,2073975
41;7;2,89;2,07;3,09584025
42;9;3,24;2,36;4,511376
43;9;3,08;2,31;4,108797
44;10;3,23;2,55;5,25076875
45;9;2,99;2,38;4,234139
46;9;2,88;2,51;4,536072
47;9;2,91;2,27;3,74873475
48;13;3,55;2,6;5,9995
49;6;2,88;2,07;3,085128
50;8;3,13;2,25;3,96140625
51;7;2,69;2,35;3,71388125
52;7;2,64;2,23;3,282114
53;7;2,65;2,19;3,17741625
54;8;3;2,29;3,933075
55;6;2,51;2,14;2,873699
56;6;2,69;2,11;2,99403725
57;9;2,82;2,36;3,926568
58;7;2,79;2,25;3,53109375
