date,COVID-19-Fälle
2020-03-20,200
2020-03-21,308
2020-03-22,364
2020-03-23,451
2020-03-24,616
2020-03-25,789
2020-03-26,824
2020-03-27,905
2020-03-28,1001
2020-03-29,1063
2020-03-30,1203
2020-03-31,1550
2020-04-01,1784
2020-04-02,2102
2020-04-03,2361
2020-04-04,2471
2020-04-05,2528
2020-04-06,2551
2020-04-07,2641
2020-04-08,2654
2020-04-09,2714
2020-04-10,2702
2020-04-11,2652
2020-04-12,2652
2020-04-13,2719
2020-04-14,2722
2020-04-15,2735
2020-04-16,2810
2020-04-17,2879
2020-04-18,2928
2020-04-19,2870
2020-04-20,2900
2020-04-21,2855
2020-04-22,2739
2020-04-23,2720
2020-04-24,2644
2020-04-25,2538
2020-04-26,2524
2020-04-27,2466
2020-04-28,2391
2020-04-29,2310
2020-04-30,2235
2020-05-01,2118
2020-05-02,2046
2020-05-03,2011
2020-05-04,1976
2020-05-05,1903
2020-05-06,1820
2020-05-07,1763
2020-05-08,1659
2020-05-09,1594
2020-05-10,1603
2020-05-11,1587
2020-05-12,1496
2020-05-13,1384
2020-05-14,1316
2020-05-15,1232
2020-05-16,1173
2020-05-17,1125
2020-05-18,1122
2020-05-19,1087
2020-05-20,1019
2020-05-21,999
2020-05-22,971
2020-05-23,928
2020-05-24,896
2020-05-25,883
2020-05-26,810
2020-05-27,749
2020-05-28,723
2020-05-29,722
2020-05-30,711
2020-05-31,697
2020-06-01,696
2020-06-02,691
2020-06-03,631
2020-06-04,595
2020-06-05,584
2020-06-06,561
2020-06-07,566
2020-06-08,543
2020-06-09,516
2020-06-10,483
2020-06-11,452
2020-06-12,450
2020-06-13,441
2020-06-14,438
2020-06-15,434
2020-06-16,421
2020-06-17,407
2020-06-18,394
2020-06-19,374
2020-06-20,359
2020-06-21,350
2020-06-22,363
2020-06-23,358
2020-06-24,353
2020-06-25,358
2020-06-26,359
2020-06-27,343
2020-06-28,335
2020-06-29,329
2020-06-30,333
2020-07-01,324
2020-07-02,325
2020-07-03,314
2020-07-04,320
2020-07-05,299
2020-07-06,305
2020-07-07,292
2020-07-08,287
2020-07-09,272
2020-07-10,276
2020-07-11,253
2020-07-12,254
2020-07-13,263
2020-07-14,256
2020-07-15,246
2020-07-16,251
2020-07-17,246
2020-07-18,246
2020-07-19,249
2020-07-20,245
2020-07-21,251
2020-07-22,248
2020-07-23,234
2020-07-24,235
2020-07-25,247
2020-07-26,265
2020-07-27,257
2020-07-28,253
2020-07-29,255
2020-07-30,260
2020-07-31,259
2020-08-01,255
2020-08-02,267
2020-08-03,263
2020-08-04,258
2020-08-05,238
2020-08-06,236
2020-08-07,226
2020-08-08,228
2020-08-09,234
2020-08-10,227
2020-08-11,230
2020-08-12,220
2020-08-13,223
2020-08-14,230
2020-08-15,228
2020-08-16,224
2020-08-17,226
2020-08-18,219
2020-08-19,226
2020-08-20,229
2020-08-21,235
2020-08-22,230
2020-08-23,242
2020-08-24,243
2020-08-25,223
2020-08-26,225
2020-08-27,238
2020-08-28,234
2020-08-29,239
2020-08-30,243
2020-08-31,244
2020-09-01,233
2020-09-02,226
2020-09-03,221
2020-09-04,223
2020-09-05,220
2020-09-06,216
2020-09-07,227
2020-09-08,229
2020-09-09,225
2020-09-10,230
2020-09-11,218
2020-09-12,231
2020-09-13,234
2020-09-14,233
2020-09-15,232
2020-09-16,228
2020-09-17,234
2020-09-18,243
2020-09-19,253
2020-09-20,265
2020-09-21,265
2020-09-22,274
2020-09-23,289
2020-09-24,291
2020-09-25,297
2020-09-26,309
2020-09-27,324
2020-09-28,352
2020-09-29,351
2020-09-30,354
2020-10-01,360
2020-10-02,370
2020-10-03,401
2020-10-04,422
2020-10-05,444
2020-10-06,448
2020-10-07,470
2020-10-08,487
2020-10-09,510
2020-10-10,531
2020-10-11,545
2020-10-12,589
2020-10-13,617
2020-10-14,601
2020-10-15,651
2020-10-16,688
2020-10-17,726
2020-10-18,766
2020-10-19,846
2020-10-20,875
2020-10-21,940
2020-10-22,1025
2020-10-23,1116
2020-10-24,1193
2020-10-25,1286
2020-10-26,1352
2020-10-27,1462
2020-10-28,1563
2020-10-29,1689
2020-10-30,1832
2020-10-31,1935
2020-11-01,2056
2020-11-02,2234
2020-11-03,2374
2020-11-04,2542
2020-11-05,2647
2020-11-06,2745
2020-11-07,2830
2020-11-08,2897
2020-11-09,3001
2020-11-10,3053
2020-11-11,3118
2020-11-12,3177
2020-11-13,3289
2020-11-14,3315
2020-11-15,3376
2020-11-16,3425
2020-11-17,3507
2020-11-18,3551
2020-11-19,3581
2020-11-20,3603
2020-11-21,3621
2020-11-22,3696
2020-11-23,3726
2020-11-24,3758
2020-11-25,3769
2020-11-26,3815
2020-11-27,3846
2020-11-28,3880
2020-11-29,3891
2020-11-30,3916
2020-12-01,3912
2020-12-02,3949
2020-12-03,3971
2020-12-04,4001
2020-12-05,4038
2020-12-06,4097
2020-12-07,4167
2020-12-08,4238
2020-12-09,4259
2020-12-10,4319
2020-12-11,4414
2020-12-12,4475
2020-12-13,4541
2020-12-14,4661
2020-12-15,4722
2020-12-16,4820
2020-12-17,4839
2020-12-18,4889
2020-12-19,4930
2020-12-20,5018
2020-12-21,5157
2020-12-22,5202
2020-12-23,5226
2020-12-24,5330
2020-12-25,5364
2020-12-26,5520
2020-12-27,5546
2020-12-28,5582
2020-12-29,5637
2020-12-30,5630
2020-12-31,5623
2021-01-01,5584
2021-01-02,5703
2021-01-03,5745
2021-01-04,5723
2021-01-05,5650
2021-01-06,5552
2021-01-07,5474
2021-01-08,5467
2021-01-09,5398
2021-01-10,5300
2021-01-11,5267
2021-01-12,5209
2021-01-13,5164
2021-01-14,5104
2021-01-15,5050
2021-01-16,4992
2021-01-17,4950
2021-01-18,4984
2021-01-19,4930
2021-01-20,4817
